_id,project_title,project_job_number,bb_encore_clients.name,client_project_number,accreditationISbb_encore_accreditation_typesID,client_contact_1ISbb_encore_client_contactsID,client_contact_2ISbb_encore_client_contactsID,client_contact_3ISbb_encore_client_contactsID,client_contact_4ISbb_encore_client_contactsID,client_contact_preferred_email_recipient_numberNUM,client_contact_email_listISsmallplaintextbox,project_detailISsmallplaintextbox,internal_notesISsmallplaintextbox,external_notesISsmallplaintextbox,feedback_service_commentsISsmallplaintextbox,feedback_continuous_improvementISsmallplaintextbox,feedback_positive_aspectsISsmallplaintextbox,main_supplierISbb_encore_suppliersID,main_supplier_notesISsmallplaintextbox,main_supplier2ISbb_encore_suppliersID,main_supplier2_notesISsmallplaintextbox,main_supplier3ISbb_encore_suppliersID,main_supplier3_notesISsmallplaintextbox,site_address1,site_address2,site_address3,site_city,site_postcode,services_start_date,project_end_date,project_length,project_budget,floor_area_m2NUM,forecast_adjust_percentNUM,Senior_Project_ManagerISbb_encore_client_contactsID,Project_ManagerISbb_encore_client_contactsID,Shell_And_Core_Contractor,Contracts_Manager,Contracts_Manager_Contact_DetailsISsmallplaintextbox,Contracts_Manager_Email_Address,Strip_Out_ProjectYN,Strip_Out_Contractor,Strip_Out_Contact,Strip_Out_Contact_DetailsISsmallplaintextbox,Strip_Out_Contact_Email_Address,Document_Controller,Document_Controller_Contact_DetailsISsmallplaintextbox,Document_Controller_Email_Address,Waste_Contractor,Waste_CoordinatorISbb_usersID_IN_Staff,encore_operations_managerISbb_usersID_IN_Staff,encore_operations_directorISbb_usersID_IN_Staff,considerate_constructor_schemeYN,BREEAM_Assessor,BREEAM_Assessor_AddressISsmallplaintextbox,BREEAM_Assessor_Contact_DetailsISsmallplaintextbox,BREEAM_rating_Target,BREEAM_dashboard_targetNUM,SKA_Assessor,SKA_Assessor_Contact_DetailsISsmallplaintextbox,SKA_rating_Target,PCEA_requiredYN,PCEA_sent_date,waste_min_opt_demolitISLIST_Client_Encore_Both_Other,waste_min_opt_purchISLIST_Client_Encore_Both_Other,waste_min_opt_storageISLIST_Client_Encore_Both_Other,waste_min_opt_handlingISLIST_Client_Encore_Both_Other,waste_min_opt_materialsISLIST_Client_Encore_Both_Other,waste_min_opt_material_suppISLIST_Client_Encore_Both_Other,waste_min_opt_proj_natureISLIST_Client_Encore_Both_Other,remp_additional_pdf01ISfile,override_client_color,procurement_sheetISfile,rate_cardISfile,send_automated_emailsYN,uninvoiced_total_thresholdNUM,non_remp_projectYN,archive_projectYN,_apikey,_deleted,_authorid,_dateadded,_modifierid,_datemodified
516,"Interserve Construction Ltd (Paragon div) - The Wallace Collection",LSE0115,"Interserve Construction Ltd ( Paragon Div )",1059,,221,,,,,,"Refurb of gallery spaces on lower fground and 3rd Floor inculding strip out, replacing steel doors, new timber flooring, new partitions, new ceilings, alterations to mechanical and electrical installation, waterproof render to vaults and decorating. This is a grade 2 listed building which is occupied.",,"* Please use Gowing and Pursey First *",,,,,,,,,,"The Wallace Collection","Hertford House","Manchester Square",London,"W1U 3BN","2018-01-22 00:00:00","2018-05-09 00:00:00","15 Weeks","£749,617.00",320.00000000,,50,432,,,,,0,,,,,,,,"Encore Environment Limited",11,,15,0,,,,,,,,,1,"2018-01-30 00:00:00",Other,Client,Client,Client,Client,Both,Encore,,,,,1,2000.00000000,0,1,23f3eb2e216bf50d16e1a82acc55f9eb,0,11,"2018-01-19 15:39:50",11,"2019-03-04 13:03:23"
517,"Interserve- Project Neptune, Spitalfields",SE31575,"Interserve Construction - Paragon Office",,,370,,,,,,"Spitalfields Re-Clading","**DRIVER MUST CALL KEVIN WHEN 30 MINS FROM SITE SO THEY CAN BRING WASTE DOWN**",,,,,76,,903,,395,,"9 Frying Pan Alley",Spitalfields,,London,"E1 7HS","2018-01-24 00:00:00","2018-09-09 00:00:00","33 weeks",4200000,240.00000000,,300,,,,,,0,,,,,,,,"Encore Environment",9,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,,,1,2000.00000000,0,1,a6b5748e9680efb2cbab1f38c7393ab0,0,9,"2018-01-22 14:52:31",9,"2019-03-04 08:38:55"
518,"Overbury - National Grid, Warwick",OVETCL011539,"Overbury Central",,,372,,,,,,"Removal of partitions, installing one partition, minor electrical works, painting and cleaning the floor.",,,,,,82,"8YD enclosed, mixed= £203.00, can take 10% plasterboard.",167,"6YD wait and load, plasterboard. £187.50 all in. To be done in drivers tacho break (11AM-1PM), includes 45. minutes waiting time.",211,"12YD enclosed, mixed= £230.00 quoted by Nicola 14.03.18","Second Floor, Telent Building Point 3","Opus 40 Business Park","Haywood Road",Warwick,"CV34 5AH","2018-01-30 00:00:00","2018-03-16 00:00:00","6 weeks",200000.00,2270.00000000,,,,,,,,0,,,,,,,,"Encore Environment Limited",9,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Encore,Both,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/518/National Grid Warwick Jan 2018.xlsx","portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/518/Rate Card- National Grid, Warwick.pdf",1,1000.00000000,0,1,c8347a6fecd6532b78be6fb60df17672,0,11,"2018-01-29 10:19:45",9,"2018-04-03 15:41:25"
519,"Interserve Construction Ltd (Paragon div) - Bupa Care Home - Haywards Heath",LSE0116,"Interserve Construction Ltd ( Paragon Div )",3301,,586,,,,,,"Completion of 64 room care home. Building is over 3 levels with communial dining room and breakout space.","Access may be via Butlers Green Road, please call site contacts prior to arrival for confirmation.",,,,,488,,489,,404,,"Downlands Park","Bolnore Farm Lane","Haywards Heath","East sussex","RH16 4BQ","2018-01-31 00:00:00","2018-04-30 00:00:00","12 weeks","7,000.00",1500.00000000,,450,586,,,,,0,,,,,,,,"Encore Environment Limited",11,,15,0,,,,,,,,,0,,Other,Client,Client,Client,Client,Encore,Both,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/519/Bupa Haywards Heath.xlsx",,1,6500.00000000,0,1,3c47945d3d1fffbfccbd55f4ba785402,0,11,"2018-01-30 11:33:51",11,"2018-07-18 14:44:06"
520,"Interserve construction Ltd ( Paragon Div ) - L & Q Stratford",LSE0117,"Interserve Construction Ltd ( Paragon Div )",1060,,19,432,50,,,,"Supply and installation of new reception desk, ceilings, partitions, doors, floor finishes and decorating to Ground floor and glazed partitions and doors to first floor. All works to be undertaken outside of normal hours as building is occupied.",,,,,,135,,,,,,"East Thames and L & Q","29-35 West Ham Lane",Stratford,London,"E15 4PH","2018-02-24 00:00:00","2018-04-15 00:00:00","8 weeks","£125,924.00",792.00000000,,50,432,,,,,0,,,,,,,,"Encore Environment Limited",11,,15,0,,,,,,,,,0,,Other,Client,Client,Client,Client,Encore,Both,,,,,1,1000.00000000,0,1,e9a1b358d59e58a50d64a5d0a421c331,0,11,"2018-02-06 14:06:22",11,"2018-07-18 14:44:37"
521,"Holmes Metrobuild- Clerkenwell Green",HOL0007,"Holmes Metrobuild",,,412,459,639,,,,"CAT A & B fit out of an existing office block","Must be three hours between each service in order to allow site enough time to fill the skips. If the skip on the previous day doesn't arrive until 3PM, they cannot have another exchange the next day until 10AM at least.

No services can take place prior to 8AM","Do not invoice monthly- will be invoiced differently.",,,,176,,330,,357,"£100.00 transport, £1.00 per bin per week.","Clerkenwell House","45 Clerkenwell Green",,London,"EC1R 0EB","2018-02-16 00:00:00","2018-08-20 00:00:00","27 weeks",3000000,2750.00000000,,459,,,,,,1,"Encore Environment Ltd",,,,,,,"Encore Environment Ltd",9,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,,,1,1000.00000000,0,1,96511458b6e2524e535975bfdfaf5b78,0,9,"2018-02-15 14:38:35",9,"2018-11-19 13:28:14"
522,"Farrans - William Ellis School",FAR0002,Farrans,,,589,588,,,,,,"- No services between 7.30AM and 9AM or between 3PM-4PM due to site being a school. 
- The route to site MUST be along Highgate Road approaching ONLY from Kentish Town.
- Drivers must phone ahead of arrival.
- No stopping/waiting/parking is permitted on Highgate Road or the surrounding residential area. 
- Vehicles must leave as per the route outlined- turning right when leaving site onto Highgate Road and heading toward Kentish Town. 
- The above must be adhered to and there will be a penalty fine applied should the above not be adhered to.
- Encore Environment cannot accept any waiting time, additional charges or wasted journey charges if the above restrictions are not followed. 
- Please ask Encore to provide the map which will need to be adhered to for all services, should you not already hold a copy.",,,,,141,"7YD calibrated mixed skip- £205.00",368,"8YD calibrated skip for wash out- £213.00",,,"Highgate Road",,,London,"NW5 1RN",,,,,,,,,,,,,0,,,,,,,,"Encore Environment",9,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/522/camden project.xlsx","portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/522/Rate Card- Camden Project.pdf",1,1000.00000000,0,1,983e3a271bf31ae92e65ae3ebb659079,0,19,"2018-02-20 13:40:15",9,"2018-07-12 09:52:59"
523,"Interserve Construction Ltd (Paragon div) - Addison Lee, The Point",LSE0118,"Interserve Construction Ltd ( Paragon Div )",6245,,347,539,,,,,"Cat B Fit out of the 4th Floor",,"Access to the loading bay is via a lift. please ensure vehicle will fit.
Zone E",,,,357,,395,,,,"4th Floor","The Point Paddington","North Wharf Road",Paddington,"W2 1AF","2018-07-30 00:00:00","2018-11-05 00:00:00","14 Weeks","£1,899,881.00",198.81250000,,425,347,,,,,0,N/A,N/A,N/A,N/A,,,,"Encore Environment Limited",11,,15,1,N/A,N/A,N/A,N/A,0.00000000,N/A,N/A,0,0,,Other,Client,Client,Client,Client,Encore,Both,,,,,1,4000.00000000,0,1,a04841c00924af8246a29ebdbd27d2b7,0,11,"2018-02-21 10:52:40",11,"2019-01-04 16:10:50"
524,"Interserve offices",INTRAFH011617,"Interserve Construction - Paragon Office",,,414,,,,,,"Removal of office equipment sue to moving offices.",,,,,,396,,,,,,"Dolphin Bridge House","Rockingham Road",,Uxbridge,"UB8 2XL","2018-02-26 00:00:00","2018-02-28 00:00:00","3 Days",,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1500.00000000,1,1,421036fd2b7450dedbc7a3a7b35a507c,0,11,"2018-02-21 14:32:14",9,"2018-05-03 09:20:44"
525,"CSB Logistics - Texas Instruments",CSB0001,"CSB Logistics",,,597,,,,,,"Removal of electrical items and onsite shredding of confidential paperwork.",,"Please go to reception and ask for the Texas Instruments offices. Offices on upper floor but lift is available.",,,,722,,721,,,,"Texas Instruments","250 South Oak Way","Green Park",Reading,"RG2 6UG","2018-02-23 00:00:00","2018-02-26 00:00:00","4 days",,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,c0cfd415e0c26f1b52e860b69f650050,0,11,"2018-02-22 12:12:02",9,"2018-04-06 17:00:03"
526,"Overbury - 1 Central Boulevard, Phase 2",OVETCL011540,"Overbury Central",,,525,72,614,,,,,,,,,,177,,167,,,,"1 Central Boulevard","Blyth Valley Business Park",Solihull,Birmingham,"B90 8BG","2018-02-26 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/526/Rate Card- Central Boulevard.pdf",1,2500.00000000,0,1,a661b99d092a9e8538a9b4cd1d50ce79,0,11,"2018-02-23 09:05:39",9,"2018-05-09 12:27:57"
527,"Interserve Construction Ltd (Paragon div) - Government Digital Services- Phase 2",LSE0119,"Interserve Construction Ltd ( Paragon Div )",2050,,24,435,,,,,"Extension of phase 1 works. New teaching rooms and project rooms to Floor 6. New partitioning, new doors and frames, ceiling mods, decoration and adaptions to services including A/C units. Extension of carpet corridor line between floor 6 and 7.","Loading Bay has height 4.26 metres and weight 14 tons restrictions. Access via 2 Leman Street, London E1 8FA,",,,,,330,,,,,,"6th and 7th Floor","10 Whitechapel","High Street",London,"E1 8DX","2018-03-12 00:00:00","2018-05-14 00:00:00","9 weeks","£341,137.89",250.00000000,,450,24,,,,,0,,,,,,,,"Encore Environment Limited",11,,15,0,,,,,,,,,0,,Other,Client,Client,Client,Client,Encore,Both,,,,,1,1000.00000000,0,1,5f1936250f9f346af7d83b350f8ea407,0,11,"2018-02-28 09:33:54",11,"2018-06-01 11:57:18"
528,"Project 7 Construction - Apartments 35.01 & 36.01, One The Elephant",PRO0004,"Project7 Construction Ltd",,,985,,,,,,"To remove and replace plasterboard and drying materials including all protection.","Could you please call Jim Moore on 07423054540 as 1st point of contact when servicing site please.",,,,,180,"£90 Transport, £85 per tonne",134,,,,"One The Elephant","1 Gabriel Walk","Elephant & Castle",London,"SE1 6FB","2018-03-08 00:00:00","2019-11-30 00:00:00","21 Months",,,,,598,,,,,0,,,,,,,,"Encore Environment",20,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/528/OTE - Project 7.xlsx","portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/528/Rate Card- OTE, Project 7.pdf",1,1000.00000000,0,1,2349a01ad677efc9b313fda05607b8a3,0,19,"2018-02-28 15:07:22",32,"2019-11-22 14:52:06"
529,"Farrans - Brentwood Town Hall",FAR0003,Farrans,,,599,603,696,,,,"Refurbishment of Brentwood Town Hall","Site services can only take place between 9.30AM and 3.30PM.
Please ensure site are called 15 minutes prior to all services.
**ALL ENCLOSED SKIPS TO THIS SITE NEED TO BE A HATCH LID AND NOT A FLIP LID** any flip lid skips delviered to site will be turned away and no wasted journey will be accepted.","*cc Renata Robinson RRobinson@farrans.com into all monthly reports!*

27.04.18- Kevin called to book an exchange for his Mixed skip however he said the mixed is not in the 8yd Enclosed it is in the 12yd Enclosed skip. He wants an open skip.
I called Sharps they said they actually delivered 3 x 8yd Enclosed to site they are all just different shapes. They have only charged for 8yd not 10yd.
I have amended EE to reflect the fact they had 3 x 8yd Enclosed onsite and booked 1 for a collection and 1 x 12yd Open delivery for Monday.
Kevin asked when the Plasterboard is ready for exchange it is swapped also for a 12yd Open. 
They are keeping 1 x 8yd Enclosed for office and canteen waste.",,,,156,"8YD open, mixed= £215.00
8YD open, metal= £120.00 as quoted by Amy on 14.08.18, 12.20PM
10YD open, timber= £240.00
10YD open, plasterboard= £105 trans, £115 per T. Min 1T.
20YD for windows. £140.00 transport, £110.00 per tonne, min 1T. Incl. 1 hour if wait and load, £1.00 per min after. Quoted by Nicole 31.07.18
12YD insulation/Rockwall, as per mixed waste price. Quoted by Charlotte via phone 11AM on 6th Sept 2018",,,,,"Ingrave Road",,,Brentwood,"CM15 8AY","2018-03-05 00:00:00","2019-03-08 00:00:00","53 weeks","10,000,000",5978.00000000,,,599,,"Paul Brooks",,PBrooks@farrans.com,0,,,,,,,,"Encore Environment",9,,15,0,,,,,,,,,1,,Client,Client,Client,Client,Client,Both,Encore,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/529/Brentwood Town Hall  - Farrans.xlsx","portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/529/Rate Card- Brentwood Town Hall, Farrans.pdf",1,3500.00000000,0,1,12b1321bd0702c34970fa074ed443922,0,19,"2018-03-02 12:56:42",9,"2019-01-10 13:13:00"
530,"Overbury- Staffordshire Uni, Stoke",OVETCL011541,"Overbury Central",,,504,,,,,,"Reception to science area",,,,,,229,,,,,,"Staffordshire Uni","Science Block","Leek Road","Stoke On Trent","ST4 2DF","2018-03-08 00:00:00","2018-04-11 00:00:00","5 weeks","260,000",400.00000000,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/530/Stoke on Trent, procurement.xlsx","portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/530/Rate Card- Staffordshire Uni, Stoke.pdf",1,1000.00000000,0,1,f398ddf903322a5c4fb3bf1d8738accc,0,9,"2018-03-07 12:45:37",9,"2018-05-09 12:49:44"
531,"*Paragon - 56-60 Conduit Street",INTRAFH011618,"Interserve Construction Ltd ( Paragon Div )",,,601,,,,,"gary.thorne@intparagon.com, nick.hardwick@interserve.com","Demo & strip out to ground and basement areas",,,,,,,,,,,,"56-60 Conduit Street",Mayfair,,London,"W1S 2YZ",,,,,607.00000000,,,,,,,,1,"Encore Environment","Lianne Norfolk","01604 496987",lianne@encore-environment.com,,,,"Encore Environment",11,,15,0,,,,,,,,,1,,Client,Client,Client,Client,Client,Both,Encore,,,,,0,0.00000000,0,1,c9482d77957c6e364448199b26995707,0,24,"2018-03-07 13:56:07",9,"2018-04-17 13:31:36"
532,"*Paragon - National Grid House",INTRAFH011619,"Interserve Construction - Paragon Office",,,601,,,,,gary.thorne@intparagon.com,"Strip out and demo Black A National Grid House",,,,,,,,,,,,"National Grid House","Warwick Technology Park","Gallows Hill",Warwick,"CV34 6UW",,,,,,,,,,,,,1,"Cobra Projects",,,,,,,,11,,15,0,,,,,,,,,1,,,,,,,,,,,,,0,0.00000000,0,1,9ee0aaa43941dcfbf6391f48806355cb,0,24,"2018-03-07 14:04:13",24,"2018-03-07 14:04:13"
533,"*Inspira Property- SEGRO",ENC0001,OTHER,,,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,"Encore Environment Ltd",,,15,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,0,1,ce5cffa6ec229c5ef1651742ff1f5c50,0,9,"2018-03-08 09:41:41",9,"2020-07-23 09:03:47"
534,"Area- Leonardo Lincoln",ARE0020,Area,,,615,356,653,,,,"Full Cat B fit out of unit 2, minimal build demolition works as first floor partitions are to be kept in place. New partitions to ground floor area. Strip out of existing Toshiba ceiling mounted split units and replace with Mitsubishi mechanical system, which includes Mitsubishi lossnay ventilation system, the new mechanical install includes new condensers located in the external plant compound. Builders works are required to form apertures for external louvres. Existing tea point to be stripped out and replaced with new layout, existing plumbing to be adapted. Two new teapoint areas to be installed in to the Ground Floor, new plumbing required here to be fed from the core. All lighting to be upgraded to LED and new floorboxes to be added to suit furniture layout. Buildersworks will be required to chase out existing slab for new power, as the buildings have no raised access flooring. Ceiling to remain as they are, with minor amendments around new mechanical installation. New roller blinds throughout Ground and First Floor. Fire alarms, access control and data are by incumbent contractors however will be managed as part of our works. 

A 70m link trench will be dug to link the two buildings with 3 way containment for access control and data.  

Minor amendments to classrooms in unit three to include the installation of two no folding walls and the install of a new comms room, which will house a new gas suppression system.",,,,,,255,"12YD plasterboard- £190.00 cost all in.
8YD plasterboard- £160.00 all in. 
16YD skip, mixed- £120 trans, £105 per T. Min 2T.",124,"12YD plasterboard- £220.00 all in 
8YD plasterboard- £160.00 all in
20YD RORO, mixed- £120.00 trans, £99.00 per T. Min 3T.",,,"Units 2 and 3","Alpha Court","Kingsley Road",Lincoln,"LN6 3TA","2018-04-09 00:00:00","2018-07-13 00:00:00","13 weeks","£750,000.00",950.00000000,,,356,,,,,0,,,,,,,,"Encore Environment",9,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/534/Lincoln procurement.xlsx","portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/534/Rate Card-Lincoln.pdf",1,2000.00000000,0,1,2f365ed993e631aa921f9e3b6ea3df75,0,9,"2018-03-12 14:48:54",9,"2018-07-04 09:41:19"
535,"Interserve Construction Ltd (Paragon div) - Camberley Mall Phase 2",LSE0120,"Interserve Construction Ltd ( Paragon Div )",8710,,624,367,,,,,"Phase 2 Refurbishment of shopping mall","All services between 12am-10am as restricted access to loading bay 3.",,,,,113,"All Services between 12am-10am as restricted access to loading bay 3.",396,,,,"5 - 6  The Square",Camberley,,Surrey,"GU15 3SL","2018-03-12 00:00:00","2018-11-26 00:00:00","37 Weeks","3,531,427.30",1858.06000000,,460,367,,,,,0,,,,,,,,"Encore Environment Limited",11,,15,1,,,,,,,,,1,,Other,Client,Client,Client,Client,Encore,Both,,,,,1,2000.00000000,0,1,d6b59c1cf26cf29565ff0564133d8021,0,11,"2018-03-13 09:59:02",9,"2019-05-13 13:22:44"
536,"Interserve Construction Ltd (Paragon Div ) - Westminster Fire Station",LSE0121,"Interserve Construction Ltd ( Paragon Div )","8711- Westminster Fire Station",,754,330,1078,1100,,,"Refurb of existing fire station and convert into high end apartments including excavation to the rear and construction of an RC frame to include further apartments.",,,,,,395,,180,"L cage £95 Trans £130 PT
8yd Plasterboard Trans £100+£80 per T
12yd mixed £260 fixed
16yd mixed £300 fixed
16yd plasterboard £80 per T £100 Trans",78,"£370 20yd Roro inc 2T £115 per T","4 Greycoat Place",,Westminster,London,"SW1P 1BN","2018-05-29 00:00:00","2021-03-31 00:00:00","75 Weeks","£9,189,758.69",2500.00000000,,460,658,,,,,0,,,,,,,,"Encore Environment Limited",20,,15,1,,,,,,,,,1,"2018-06-18 00:00:00",Other,Client,Client,Client,Client,Encore,Both,,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/536/Paragon Central London Rate Card 2017-2018.pdf",1,5000.00000000,1,0,d7f2f7a018c69392ae56d9c87071dae9,0,11,"2018-03-14 15:41:42",32,"2020-09-14 12:53:04"
537,"Interserve Construction Ltd (Paragon div) - Sopwell House Strip out",LSE0122,"Interserve Construction Ltd ( Paragon Div )",,,545,,,,,,,,,,,,725,,726,,727,,,,,,,,,,,,,,,,,,,1,Trenchco,,,,"helen Hall",,helen.hall@intparagon.com,"Encore Environment Limited",11,,15,0,,,,,,,,,0,,,,,,,,,,,,,0,1.00000000,1,1,8b3bbee04bf44c9dafe5d09d07bd761b,0,11,"2018-03-19 09:40:36",11,"2018-08-31 15:45:10"
538,"Project 7- Pavilion Road",PRO0005,"Project7 Construction Ltd",,,689,608,493,,,,"CAT A works. Softstrip,screed removal, to basement/Ground floor",,,,,,,,,,,,"23 Pavilion Road",,Knightsbridge,London,"SW1X 0HD","2018-03-19 00:00:00","2018-06-25 00:00:00","14 weeks","£200,000",500.00000000,,,,,,,,0,,,,,,,,"Encore Environment",19,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,,,1,1000.00000000,0,1,a758fb5f1c06d259b546b60897107e9c,0,19,"2018-03-22 14:16:32",9,"2018-09-17 15:37:31"
539,"Area- Basingstoke",ARE0021,Area,,,610,611,,,,,,,,,,,,,,,,,"Genus PLC","First Floor, Matrix House","Basing View",Basingstoke,"RG21 4DZ","2018-04-06 00:00:00","2018-04-06 00:00:00","1 day",,,,,,,,,,0,,,,,,,,"Encore Environment",9,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,,,1,1000.00000000,0,1,a8b7cc04b7f86049211d70f4063a2208,0,9,"2018-03-23 14:28:43",9,"2018-03-28 12:27:56"
540,"Overbury- Birmingham University, School of Education",OVETCL011542,"Overbury Central",220557,,542,612,,,,,"Replacing the ground and first floor windows including surrounding finishes.",,,,,,206,"12YD enclosed, mixed- £220.00- including £10.00 for WB.",,,,,"The University of Birmingham","School of Education R19","Edgbaston Campus",Birmingham,"B15 2TT","2018-03-23 00:00:00","2018-05-09 00:00:00","5 weeks",,900.00000000,,,,,,,,0,,,,,,,,"Encore Environment",9,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,,,1,1000.00000000,0,1,01ceb0fc2860139db6951ab8c6dfc3ea,0,9,"2018-03-26 13:22:11",9,"2019-05-07 11:11:31"
541,"Overbury- The Lakes, Northampton. (WC Works)",OVETCL011543,"Overbury Central",,,273,,,,,,,,,,,,121,"8YD skip, mixed- £165.00, can take up to 20% plasterboard- quoted by Lewis 26.03.18",,,,,"Century House, 1 The Lakes","Bedford Road",,Northampton,"NN4 7SJ",,,,,,,,,,,,,0,,,,,,,,"Encore Environment",9,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/541/Rate Card- The Lakes, Northampton.pdf",1,1000.00000000,1,1,f741db64744fd5196c3cc8f7310f890c,0,9,"2018-03-26 14:30:37",9,"2018-05-09 11:11:29"
542,"Overbury- Aqueous II, Phase 2",OVETCL011544,"Overbury Central",,,74,525,,,,,"Fitout of fourth and fifth floors","Driver must have and use full PPE. 
Please call Martin on arrival for skip siting.
No services until after 7.30AM.",,,,,206,"12YD enclosed, mixed- £220.00 incl. WB cost
12YD enclosed, plasterboard- £100 transport, £115 per T, Min 3T",,,,,"Aqeuous II","Aston Cross Business Park","50 Rocky Lane",Birmingham,"B6 5RQ","2018-04-04 00:00:00","2018-06-11 00:00:00","11 weeks",,,,,74,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,,"portal/encore/UserFiles/SysDocs/bb_encore_projects/10000/542/Rate Card- Aqeuous II, Phase 2.pdf",1,2000.00000000,0,1,32acb1774b54b677e1b420bae1dae53a,0,9,"2018-04-03 13:23:26",9,"2018-07-04 12:55:07"
543,"Holmes Metrobuild- Winchmore Hill",HOL0008,"Holmes Metrobuild",,,572,,,,,,,,,,,,,,,,,,"843-845 Green Lanes","Winchmore Hill",,London,"N21 2RX","2018-04-11 00:00:00",,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,1000.00000000,1,1,6a4aee1bf57a9aea5f65fa6a7be3c284,0,11,"2018-04-10 16:39:39",9,"2018-05-29 09:56:53"
545,"Project 7- Ruislip Lido",PRO0007,"Project7 Construction Ltd",,,616,,,,,,"Demolish existing miniature railway workshop and concrete slab. 
Excavate for construction of new reinforced footings and reinforced slab as per structural engineers design.
Below ground drainage works and installation of petrol interceptor and soak away
Installation of new pre-fabricated modular workshop structure",,,,,,,,,,,,"Ruislip Lido","Reservoir Road",,Ruislip,"HA4 7TY","2018-01-22 00:00:00","2018-05-29 00:00:00","17 weeks","£300,000",190.00000000,,493,,,,,,0,,,,,,,,,,,15,0,,,,,,,,,0,,Client,Client,Client,Client,Client,Client,Client,,,,,0,500.00000000,0,1,3c23feaa11e6c44e78ae18ea853cc87f,0,9,"2018-04-12 08:36:31",9,"2018-07-23 13:44:59"
546,"* Holmes Metrobuild- White Lodge Medical Centre",HOL0009,"Holmes Metrobuild",,7,412,,,,,,"New construction of medical practice",,,,,,,,,,,,"105-109 Chase Side",,Enfield,London,"EN2 6NL","2018-05-14 00:00:00","2019-04-19 00:00:00","48 weeks","3,000,000",700.00000000,,,,,,,,0,,,,,,,,"Encore Environment",9,,15,0,TBC,TBC,TBC,Excellent,,,,,0,,Client,Client,Client,Client,Client,Both,Encore,,,,,1,500.00000000,0,1,572eeb4b25fc0bcfda755c9e79f1e477,0,9,"2018-04-12 16:44:56",9,"2018-04-17 13:31:56"
547,"*Cosmur - Elizabeth House",COS0001,"Cosmur Construction",,,617,,,,,,"Conversation of Elizabeth House and Cornerstone House to provide 241 apartments with associated 532 sum of offices and retail on the ground floor, basement car parking and access",,,,,,,,,,,,"Elizabeth House and Cornerstone House","Duke Street",,Woking,"GU21 5AS","2018-02-11 00:00:00","2020-02-11 00:00:00","24 months","11,000,000",532.00000000,,,617,,,,,0,,,,,,,,"Encore Environment",19,,15,0,,,,,,,,,1,,Client,Client,Client,Client,Client,Both,Encore,,,,,0,2000.00000000,0,1,c3da7805c3575d228276c38aa0c61a8c,0,19,"2018-04-16 13:57:58",9,"2018-04-17 14:31:15"
